INPUT_TABLE,,,
Variable ID,,,
SubregionalIncShares,,,
,,,
region,gcam.consumer,inc.year.fillout,subregional.income.share
AS,resid rural,2005,0.32352
BR,resid rural,2005,0.33634
CG,resid rural,2005,0.24
CH,resid rural,2005,0.19
DD,resid rural,2005,0.26
DL,resid rural,2005,0.43
DN,resid rural,2005,0.27
GA,resid rural,2005,0.43
GJ,resid rural,2005,0.38
HP,resid rural,2005,0.34
HR,resid rural,2005,0.33
JH,resid rural,2005,0.36
JK,resid rural,2005,0.3
KA,resid rural,2005,0.52
KL,resid rural,2005,0.35
LA,resid rural,2005,0.25
LD,resid rural,2005,0.27
MH,resid rural,2005,0.44
ML,resid rural,2005,0.38
MN,resid rural,2005,0.29
MP,resid rural,2005,0.33
MZ,resid rural,2005,0.26
NL,resid rural,2005,0.26
OD,resid rural,2005,0.49
PB,resid rural,2005,0.36
PC,resid rural,2005,0.43
RJ,resid rural,2005,0.44
SK,resid rural,2005,0.43
TN,resid rural,2005,0.35754
TR,resid rural,2005,0.33
TS,resid rural,2005,0.43
UK,resid rural,2005,0.3
UP,resid rural,2005,0.35
WB,resid rural,2005,0.23
AN,resid rural,2010,0.36888242
AP,resid rural,2010,0.566767607
AR,resid rural,2010,0.59798553
AS,resid rural,2010,0.734684908
BR,resid rural,2010,0.791450211
CG,resid rural,2010,0.493957307
CH,resid rural,2010,0.009150943
DD,resid rural,2010,0.076866762
DL,resid rural,2010,0.012547171
DN,resid rural,2010,0.23336751
GA,resid rural,2010,0.26297984
GJ,resid rural,2010,0.40340672
HP,resid rural,2010,0.79692092
HR,resid rural,2010,0.371876492
JH,resid rural,2010,0.575537213
JK,resid rural,2010,0.48086645
KA,resid rural,2010,0.414923776
KL,resid rural,2010,0.522809023
LA,resid rural,2010,0.466439373
LD,resid rural,2010,0.167449703
MH,resid rural,2010,0.365401643
ML,resid rural,2010,0.593742625
MN,resid rural,2010,0.503143406
MP,resid rural,2010,0.386427143
MZ,resid rural,2010,0.435349466
NL,resid rural,2010,0.474060023
OD,resid rural,2010,0.631716244
PB,resid rural,2010,0.539294784
PC,resid rural,2010,0.128612641
RJ,resid rural,2010,0.604064707
SK,resid rural,2010,0.587369799
TN,resid rural,2010,0.424736284
TR,resid rural,2010,0.496340571
TS,resid rural,2010,0.404232186
UK,resid rural,2010,0.398997625
UP,resid rural,2010,0.593498577
WB,resid rural,2010,0.443389289
AN,resid rural,2015,0.363400993
AP,resid rural,2015,0.539292227
AR,resid rural,2015,0.580172079
AS,resid rural,2015,0.718832783
BR,resid rural,2015,0.78656002
CG,resid rural,2015,0.482956163
CH,resid rural,2015,0.009173743
DD,resid rural,2015,0.073196389
DL,resid rural,2015,0.01160516
DN,resid rural,2015,0.217545285
GA,resid rural,2015,0.239078077
GJ,resid rural,2015,0.386649031
HP,resid rural,2015,0.78547346
HR,resid rural,2015,0.356800537
JH,resid rural,2015,0.548374687
JK,resid rural,2015,0.466507839
KA,resid rural,2015,0.393755452
KL,resid rural,2015,0.484148843
LA,resid rural,2015,0.454169253
LD,resid rural,2015,0.160777947
MH,resid rural,2015,0.341562625
ML,resid rural,2015,0.590180984
MN,resid rural,2015,0.473979966
MP,resid rural,2015,0.380175594
MZ,resid rural,2015,0.408597049
NL,resid rural,2015,0.453364913
OD,resid rural,2015,0.613674784
PB,resid rural,2015,0.517273629
PC,resid rural,2015,0.120847842
RJ,resid rural,2015,0.587816005
SK,resid rural,2015,0.597178946
TN,resid rural,2015,0.404248683
TR,resid rural,2015,0.467895972
TS,resid rural,2015,0.389059138
UK,resid rural,2015,0.382552067
UP,resid rural,2015,0.582824216
WB,resid rural,2015,0.42268654
AN,resid rural,2020,0.357768572
AP,resid rural,2020,0.510564374
AR,resid rural,2020,0.561724503
AS,resid rural,2020,0.702187557
BR,resid rural,2020,0.78156551
CG,resid rural,2020,0.471641882
CH,resid rural,2020,0.009192624
DD,resid rural,2020,0.069252166
DL,resid rural,2020,0.010663897
DN,resid rural,2020,0.20116183
GA,resid rural,2020,0.214765321
GJ,resid rural,2020,0.369157966
HP,resid rural,2020,0.773447723
HR,resid rural,2020,0.341302959
JH,resid rural,2020,0.519950143
JK,resid rural,2020,0.451752323
KA,resid rural,2020,0.372097587
KL,resid rural,2020,0.442350468
LA,resid rural,2020,0.44168993
LD,resid rural,2020,0.154066388
MH,resid rural,2020,0.31724925
ML,resid rural,2020,0.586561906
MN,resid rural,2020,0.443682071
MP,resid rural,2020,0.373653608
MZ,resid rural,2020,0.380726117
NL,resid rural,2020,0.432040145
OD,resid rural,2020,0.594919823
PB,resid rural,2020,0.494382911
PC,resid rural,2020,0.112789619
RJ,resid rural,2020,0.571089202
SK,resid rural,2020,0.606835023
TN,resid rural,2020,0.383022546
TR,resid rural,2020,0.438329995
TS,resid rural,2020,0.373601567
UK,resid rural,2020,0.365599546
UP,resid rural,2020,0.571896646
WB,resid rural,2020,0.401383031
AN,resid rural,2025,0.35195699
AP,resid rural,2025,0.48056591
AR,resid rural,2025,0.542666971
AS,resid rural,2025,0.684727659
BR,resid rural,2025,0.776467389
CG,resid rural,2025,0.459985332
CH,resid rural,2025,0.009207467
DD,resid rural,2025,0.065003356
DL,resid rural,2025,0.009723403
DN,resid rural,2025,0.184163027
GA,resid rural,2025,0.190047137
GJ,resid rural,2025,0.350853263
HP,resid rural,2025,0.760833683
HR,resid rural,2025,0.325347852
JH,resid rural,2025,0.49028328
JK,resid rural,2025,0.436596583
KA,resid rural,2025,0.349950181
KL,resid rural,2025,0.397159741
LA,resid rural,2025,0.428991436
LD,resid rural,2025,0.147316651
MH,resid rural,2025,0.292464872
ML,resid rural,2025,0.582888955
MN,resid rural,2025,0.412276293
MP,resid rural,2025,0.366843297
MZ,resid rural,2025,0.351720881
NL,resid rural,2025,0.410059928
OD,resid rural,2025,0.575378089
PB,resid rural,2025,0.470610355
PC,resid rural,2025,0.104420926
RJ,resid rural,2025,0.553875857
SK,resid rural,2025,0.616332348
TN,resid rural,2025,0.361011458
TR,resid rural,2025,0.407640708
TS,resid rural,2025,0.357847592
UK,resid rural,2025,0.348123689
UP,resid rural,2025,0.560718302
WB,resid rural,2025,0.379473546
AN,resid rural,2030,0.345972495
AP,resid rural,2030,0.449304703
AR,resid rural,2030,0.52299209
AS,resid rural,2030,0.666423211
BR,resid rural,2030,0.771271555
CG,resid rural,2030,0.447975737
CH,resid rural,2030,0.009214332
DD,resid rural,2030,0.060441161
DL,resid rural,2030,0.00877862
DN,resid rural,2030,0.166508344
GA,resid rural,2030,0.16496004
GJ,resid rural,2030,0.331663898
HP,resid rural,2030,0.747607387
HR,resid rural,2030,0.308914065
JH,resid rural,2030,0.459362797
JK,resid rural,2030,0.421019022
KA,resid rural,2030,0.327320746
KL,resid rural,2030,0.348311311
LA,resid rural,2030,0.416085457
LD,resid rural,2030,0.140536892
MH,resid rural,2030,0.267243674
ML,resid rural,2030,0.57913747
MN,resid rural,2030,0.379776385
MP,resid rural,2030,0.359718259
MZ,resid rural,2030,0.321544149
